index, midpointX, midpointY, midpointZ, nozzleRotationX, nozzleRotationY, nozzleRotationZ, pointToX, pointToY, pointToZ, length
296,102.03745047311415,-52.327478565131045,24.542845332466683,nan,nan,nan,102.45922375888549,-51.394646617922746,24.528044743842241,2.047717952987076
297,105.21654456374044,-44.124200832661046,24.528044743842241,nan,nan,nan,107.9738653685954,-36.853755047399346,24.528044743842241,15.551488666660257
298,109.37332586081105,-33.16367239390884,24.52805180964927,nan,nan,nan,110.7727863530267,-29.47358974041833,24.528058875456303,7.893085495270896
299,111.09086539940961,-28.434004228508201,24.542859198504228,nan,nan,nan,111.4089444457925,-27.394418716598075,24.557659521552154,2.174517294374656
300,111.59522002461321,-26.387755176153085,24.54285912350749,nan,nan,nan,111.78149560343391,-25.381091635708096,24.528058725462831,2.0477198311375613
301,112.7187564190961,-17.662047510438036,24.528058725462831,nan,nan,nan,113.65601723475828,-9.9430033851679767,24.528058725462831,15.551475819926797
302,114.13171773404538,-6.0252446351905951,24.528060403942,nan,nan,nan,114.60741823333248,-2.1074858852132135,24.528062082421172,7.89306647331673
303,115.87353374160153,-2.1385721018204293,15.639031041210586,nan,nan,nan,117.13964924987059,-2.1696583184276457,6.75,17.95760425944928
304,116.0146473549012,-11.434890709633338,6.75,nan,nan,nan,114.88964545993183,-20.700123100839033,6.75,18.666564818062465
305,114.57233320695198,-23.313426933998574,6.75,nan,nan,nan,114.25502095397215,-25.926730767158116,6.75,5.264995342940958
306,114.05911679267655,-26.995744754304191,6.75,nan,nan,nan,113.86321263138093,-28.064758741450262,6.75,2.1736323011281193
307,113.53988133835588,-29.102363941469079,6.75,nan,nan,nan,113.21655004533083,-30.139969141487899,6.75,2.173630765475445
308,109.906915119103,-38.866745241599233,6.75,nan,nan,nan,106.59728019287517,-47.59352134171057,6.75,18.666580238102693
309,105.66378157418113,-50.054950960593374,6.75,nan,nan,nan,104.73028295548708,-52.516380579476177,6.75,5.2649996922382565
310,104.28424298017215,-53.507440165480283,6.75,nan,nan,nan,103.83820300485722,-54.498499751484388,6.75,2.173615202918469
311,103.27595620162506,-55.428570254404896,6.75,nan,nan,nan,102.71370939839292,-56.358640757325404,6.75,2.1736169010638258
